SPEC_ID,BS_ID,TC_ID,TC_ID2,SEX,WELL_NO,FOIL_TEAR DRY WT,SAMPLE DRY WT
1,1,1,,,A-1,0.0403,0.0408
2,1,1,,,A-2,0.0336,0.0359
3,1,1,,,A-3,0.032,0.0328
4,1,1,,,A-4,0.0301,0.0305
5,1,1,,,A-5,0.0316,0.0323
6,1,2,,,A-6,0.0309,0.0314
7,1,3,,,A-7,0.0349,0.0378
8,1,3,,,A-8,0.0359,0.0378
9,1,3,,,A-9,0.0278,0.0299
10,1,4,,,A-10,0.0408,0.0453
11,1,4,,,A-11,0.0398,0.0444
12,2,5,,,A-12,0.0403,0.0409
13,2,5,,,B-1,0.0406,0.0404
14,2,5,,,B-2,0.0366,0.0365
15,2,6,,,B-3,0.0367,0.0368
16,2,6,,,B-4,0.0391,0.0392
17,2,6,,,B-5,0.0341,0.0343
18,2,6,,,B-6,0.0345,0.0345
19,2,6,,,B-7,0.035,0.0356
20,2,6,,,B-8,0.0338,0.034
21,2,6,,,B-9,0.0288,0.029
22,2,6,,,B-10,0.0389,0.0396
23,2,6,,,B-11,0.0401,0.0405
24,2,6,,,B-12,0.0349,0.0351
25,2,6,,,C-1,0.0373,0.0379
26,2,6,,,C-2,0.035,0.0354
27,2,6,,,C-3,0.0345,0.035
28,2,6,,,C-4,0.0319,0.0324
29,2,6,,,C-5,0.0256,0.026
30,2,6,,,C-6,0.0282,0.0285
31,2,6,,,C-7,0.0266,0.0268
32,2,6,,,C-8,0.0289,0.0293
33,2,6,,,C-9,0.0302,0.0307
34,2,6,,,C-10,0.0347,0.0352
35,2,6,,,C-11,0.0263,0.0265
36,2,6,,,C-12,0.0278,0.0283
37,2,6,,,D-1,0.0308,0.031
38,2,6,,,D-2,0.0358,0.0363
39,2,6,,,D-3,0.0293,0.0299
40,2,6,,,D-4,0.0366,0.0372
41,2,6,,,D-5,0.0408,0.0414
42,2,7,,,D-6,0.0265,0.0269
43,3,8,,,D-7,0.035,0.0362
44,3,8,,,D-8,0.0385,0.0394
45,3,8,,,D-9,0.0318,0.0329
46,3,8,,,D-10,0.0347,0.0358
47,3,8,,,D-11,0.0295,0.0305
48,3,8,,,D-12,0.0331,0.034
49,3,8,,,F-1,0.0298,0.0299
50,3,8,,,F-2,0.024,0.0236
51,3,8,,,F-3,0.0231,0.0235
52,3,8,,,F-4,0.0228,0.0231
53,3,8,,,F-5,0.0228,0.0233
54,3,8,,,F-6,0.0326,0.0333
55,3,8,,,F-7,0.0279,0.0284
56,3,8,,,F-8,0.0265,0.0267
57,3,8,,,F-9,0.0283,0.0278
58,3,8,,,F-10,0.0267,0.0269
59,3,8,,,F-11,0.0307,0.0308
60,3,8,,,F-12,0.0289,0.0291
61,3,8,,,G-1,0.0264,
62,3,8,,,G-2,0.0277,
63,3,8,,,G-3,0.0254,
64,3,8,,,G-4,0.0189,
65,3,8,,,G-5,0.0292,
66,3,8,,,G-6,0.0283,
67,3,8,,,G-7,0.0225,
68,3,8,,,G-8,0.0257,
69,3,8,,,G-9,0.0228,
70,3,8,,,G-10,0.0232,
71,3,8,,,G-11,0.0265,
72,3,8,,,G-12,0.026,
73,3,8,,,H-1,0.0313,0.0315
74,3,8,,,H-2,0.0267,0.0266
75,3,8,,,H-3,0.0256,0.0261
76,3,8,,,H-4,0.0293,0.0294
77,3,8,,,H-5,0.0227,0.0233
78,3,8,,,H-6,0.0291,0.029
79,3,8,,,H-7,0.0276,0.0278
80,3,8,,,H-8,0.0335,0.0337
