taxa,Site_Abbrev,Collection_date,Volume_mL,vss63,C6_0,C8_0,C10_0,C11_0,C12_0,C13_0,C14_0,C15_0i,C15ai,C14_1n5,C15_0,C16_0i,C15_1,C16_0,C16_1n7,C17_0,C16_3n4,C17_1,C18_0,C18_1n9t,C18_1n9c,C18_1n7,C18_2n6t,C18_2n6c,C20_0,C18_3n6,C20_1n9,C20_1n7,C18_3n3,C21_0,C18_4n3,C20_2,C22_0,C20_3n9,C20_3n6,C22_1n9,C20_3n3,C20_4n6,C23_0,C22_2,C24_0,C20_5n3,C24_1n9,C22_4n6,C22_5n6,C22_5n3c,C22_6n3,Omega3,Omega6,SAFA,MUFA,PUFA,Total_FA
SES63,BN,5/27/10,840,4.253521127,0,0,0,0,0.253898581,0.105178439,4.252244677,0.66732769,0.254584424,0.156121391,0.251433529,0,0,16.46011921,5.235565505,0.300472552,0,0,4.264433361,0,5.360831089,1.978293985,0,3.104435058,0,0.285172087,0.278598831,0,4.615945169,0,3.138780171,0,0,0,0,0,0,0.738180588,0,0,0,1.583440395,0,0.272806063,0,4.282457516,1.159168232,14.77979148,4.400593796,26.80969247,13.0094108,19.18038528,58.99948854
SES63,BN,5/27/10,850,4.253521127,0,0,0,0,0.347871299,0,3.522230295,0.506790933,0.206360253,0.18274986,0.270131329,0.088929065,0,13.19438284,3.923563063,0.319045484,0,0,3.55820489,0.222316317,4.137338956,1.328523618,0,2.297195441,0.357203388,0.273126815,0.236890053,0,3.392974583,0,2.390561854,0,0.424689226,0,0.207798944,0.253044355,0.21209179,0,0,0,0.566630095,1.003750836,0,0.192147855,0,2.203034841,0.816392165,10.01880607,2.970269056,23.36246909,10.28442622,12.98907513,46.63597044
SES63,BN,6/7/10,745,3.553571429,0,0,0,0,0.465555487,0,8.814417312,0.568684205,0.319540916,0.257690226,0.384476209,0,0,14.87574655,3.741808271,0.412738456,0,0,5.936806779,0.249332905,3.692467942,1.4793811,0,6.070831151,0.462032938,0.392320748,0.260151526,0,2.43266683,0,2.862484448,0.342568282,0.517287609,0,0.292524211,0.315406008,0,1.540122607,0,0,0.768254351,1.674678606,0.62183652,0.366401483,0,9.202021166,1.553399511,17.72525056,8.6622002,33.52554081,10.6180745,26.73001904,70.87363435
SES63,BN,6/7/10,810,3.553571429,0,0,0,0,0,0,9.959764347,0.672018418,0.37615356,0.265979618,0.530080384,0,0,18.8002087,4.227833056,0.545985882,0,0,8.477773228,0.449388182,5.915498849,1.91964556,0,6.771694243,0,0.397367438,0.240779659,0,2.716584066,0,3.036889383,0.334363572,0.482422943,0,0.278124803,0,0,1.60373255,0,0,0.683541636,1.697421189,0,0.328574826,0,3.290036413,1.787868802,12.52879985,9.379493861,40.52794909,13.01912492,22.24265729,75.7897313
SES63,BN,6/22/10,720,3.672131148,0,0,0,0,0,0,2.880003621,0.62089047,0.306179022,0.181239176,0.587551227,0,0,8.486214921,3.421898882,0.407480451,0,0,3.487950108,0.249017955,2.263458312,1.339316777,0,1.396960177,0.39408107,0.339088639,0.236773246,0,2.252368606,0,1.85899321,0.235376375,0.452994278,0,0.252859005,0.288657006,0,0.726017152,0,0,0.662627532,1.009583144,0,0.283212874,0,2.556287913,1.135906592,8.813139465,2.998137847,18.2859727,7.980361354,12.04665369,38.31298774
SES63,BN,6/22/10,710,3.672131148,0,0,0,0,0.394255572,0.208578418,3.019102381,0.676399924,0.318323098,0.211924234,0.631278654,1.300997453,0,9.44290169,3.84055245,0.47030673,0,0,3.918106298,0.252776859,2.474415465,1.389308728,0,1.471199649,0.453370446,0.374313399,0.281837632,0,2.315680737,0,1.994368455,0.259931331,0.503253995,0,0,0.32354133,0,0.828215112,0,0,0.729885514,1.057855948,0.554039389,0.272619398,0,5.682809781,1.217986791,12.26870171,2.946347557,22.06676017,9.328396088,15.4749806,46.87013686
SES63,BN,7/7/10,530,5.705882353,0,0,0,0,0.340862064,0.144449771,3.496810277,0.606711525,0.178410627,0.180238532,0.381521333,0,0,13.35288923,7.495552612,0.333310775,0,0,4.298751021,0.216838259,3.283308622,1.287855097,0,2.237594556,0.363498764,0.351799332,0.275552602,0,4.196358267,0,2.837860688,0.212512872,0.39180226,0,0.222017,0.252911601,0.212331498,0.671802063,0,0,0.554100679,1.933340215,0,0.25051569,0,4.288714416,1.156049681,14.62465477,3.73372864,24.44311832,12.99225733,18.57089628,56.00627192
SES63,BN,7/7/10,500,5.705882353,0,0,0,0,0,0.16845648,4.101035068,0.665436676,0.224329457,0.202141591,0.424233444,0.089642444,0,15.14856404,7.779532663,0.440693501,0,0,5.784980611,0.25613137,3.674547922,1.360224058,0,2.324874508,0.443497792,0.387285747,0.350533276,0,4.33685943,0,2.924740586,0.236932097,0.43525688,0,0.261350802,0.294126888,0.254209747,0.704681645,0,0,0.622077968,1.993317737,0,0.251287489,0,2.411335651,1.207505814,13.12796896,3.929480191,28.54820436,13.91723777,17.29438125,59.75982338
SES63,BS,5/26/10,280,11.53333333,0,0,0,0,0.334759163,0,4.813429416,0.434950858,0.113266021,0.143748531,0.329569993,0,0.125821566,15.04191367,7.147386072,0.257959734,0,0,2.382641987,0.209917574,3.605966376,1.654944688,0,3.250519077,0.278213904,0.304256075,0.365898963,0,6.527559046,0,7.779928354,0.311941781,0.328248747,0,0.19677811,0.227081564,0.187579574,0.67543455,0,0,0.476527637,4.804442667,0,0.258111881,0,0.936681422,2.418102729,22.65429379,4.685099693,24.79148113,13.48076533,27.65133527,65.92358173
SES63,BS,5/26/10,295,11.53333333,0,0,0,0,0.238650376,0,5.52313757,0.476259877,0.168039171,0.15946505,0.34569753,0.06538678,0.138325832,16.47431228,7.843543302,0.275685556,0,0,2.76835787,0.241972837,3.996110231,1.841357943,0,3.477856533,0.295161993,0.31659974,0.392188177,0,7.171332756,0,8.450059645,0.321848229,0.33873201,0,0.198048962,0.237476465,0.184221689,0.731158293,0,0,0.487355039,5.227223182,0,0.224752604,0,1.94009761,2.617535446,25.59047033,4.948416132,27.45677605,14.85043984,30.86073469,73.16795058
