BS_ID,SITE_ABREVIATION,COLLECTION DATE,SAMPTYPE,TRAP_NUMBER,TC_ID,ORDER,FAMILY,CF,LIFE CYCLE STAGE,TOTAL COUNT,IDENTIFIER,NOTES
1,LL,5/20/10,E-trap,1 through 5,1,Diptera,Chironomidae,FALSE,Adult,5,PTK and RJH,
1,LL,5/20/10,E-trap,1 through 5,2,Diptera,Ephydridae,FALSE,Adult,1,PTK,
1,LL,5/20/10,E-trap,1 through 5,3,Trichoptera,Polycentropididae,FALSE,Adult,3,RJH,
1,LL,5/20/10,E-trap,1 through 5,4,Hymenoptera,Ichneumonidae,FALSE,Adult,2,PTK,
2,LL,5/24/10,E-trap,1,5,Diptera,Ephydridae,FALSE,Adult,3,PTK,
2,LL,5/24/10,E-trap,1,6,Diptera,Chironomidae,FALSE,Adult,27,PTK,
2,LL,5/24/10,E-trap,1,7,Hymenoptera,Scelionidae,FALSE,Adult,1,PTK,
3,LL,5/24/10,E-trap,2,8,Diptera,Chironomidae,FALSE,Adult,58,PTK,
3,LL,5/24/10,E-trap,2,9,Diptera,Ephydridae,FALSE,Adult,3,PTK,
3,LL,5/24/10,E-trap,2,10,Trichoptera,Polycentropididae,FALSE,Adult,1,PTK,
3,LL,5/24/10,E-trap,2,11,Trichoptera,Helicopsychidae,FALSE,Adult,1,PTK,
3,LL,5/24/10,E-trap,2,12,Odonata,Zygoptera,FALSE,Adult,1,PTK,
4,LL,5/24/10,E-trap,3,13,Trichoptera,Polycentropididae,FALSE,Adult,1,PTK,
4,LL,5/24/10,E-trap,3,14,Hymenoptera,Braconidae,FALSE,Adult,2,PTK,
4,LL,5/24/10,E-trap,3,15,Diptera,Ephydridae,FALSE,Adult,1,PTK,
5,LL,5/24/10,E-trap,4,16,Trichoptera,Polycentropididae,FALSE,Adult,3,PTK,
5,LL,5/24/10,E-trap,4,17,Trichoptera,Phyraneidae,FALSE,Adult,1,PTK,
5,LL,5/24/10,E-trap,4,18,Hymenoptera,Braconidae,FALSE,Adult,1,PTK,
5,LL,5/24/10,E-trap,4,19,Diptera,Chironomidae,FALSE,Adult,9,PTK,one chironomid seemed to have parasites covering legs
5,LL,5/24/10,E-trap,4,20,Diptera,Ephydridae,FALSE,Adult,1,PTK,
5,LL,5/24/10,E-trap,4,21,Diptera,Ephydridae,FALSE,Adult,1,PTK,Missing head and part of midsection
6,LL,5/24/10,E-trap,5,22,Diptera,Chironomidae,FALSE,Adult,4,PTK,one looks like just a shell of a chironomid
6,LL,5/24/10,E-trap,5,23,Diptera,Ephydridae,FALSE,Adult,2,PTK,
6,LL,5/24/10,E-trap,5,24,Hymenoptera,Pteromalidae,FALSE,Adult,1,PTK,
7,SH,5/21/10,E-trap,1,25,Diptera,Muscidae,FALSE,Adult,1,PTK,
7,SH,5/21/10,E-trap,1,26,Diptera,Chironomidae,FALSE,Adult,20,PTK,
8,SH,5/21/10,E-trap,2,27,Diptera,Muscidae,FALSE,Adult,4,PTK,
8,SH,5/21/10,E-trap,2,28,Diptera,Chironomidae,FALSE,Adult,3,PTK,
9,SH,5/21/10,E-trap,3,29,Diptera,Muscidae,FALSE,Adult,1,PTK,
9,SH,5/21/10,E-trap,3,30,Diptera,Chironomidae,FALSE,Adult,10,PTK,
9,SH,5/21/10,E-trap,3,31,Coleoptera,Curculiondae,FALSE,Adult,1,PTK,
9,SH,5/21/10,E-trap,3,32,Trichoptera,Hydroptilidae,FALSE,Adult,2,PTK
10,SH,5/21/10,E-trap,4,33,Diptera,Chironomidae,FALSE,Adult,7,PTK
10,SH,5/21/10,E-trap,4,34,Diptera,Muscidae,FALSE,Adult,1,PTK
10,SH,5/21/10,E-trap,4,35,Odonata,Zygoptera,FALSE,Adult,1,PTK
10,SH,5/21/10,E-trap,4,36,Trichoptera,Hydroptilidae,FALSE,Adult,2,PTK
10,SH,5/21/10,E-trap,4,37,Ephemeroptera,,TRUE,Adult,1,PTK
11,SH,5/21/10,E-trap,5,38,Diptera,Chironomidae,FALSE,Adult,12,PTK
11,SH,5/21/10,E-trap,5,39,Trichoptera,Hydroptilidae,FALSE,Adult,1,PTK
12,SH,5/21/10,E-trap,6,40,Diptera,Chironomidae,FALSE,Adult,12,PTK
12,SH,5/21/10,E-trap,6,41,Hymenoptera,Scelionidae,FALSE,Adult,1,PTK
12,SH,5/21/10,E-trap,6,42,Trichoptera,Hydroptilidae,FALSE,Adult,1,PTK
12,SH,5/21/10,E-trap,6,43,Coleoptera,Curculiondae,FALSE,Adult,1,PTK
13,LL,5/27/10,E-trap,1,44,Diptera,Chironomidae,FALSE,Adult,5,PTK
13,LL,5/27/10,E-trap,1,45,Trichoptera,,TRUE,Adult,1,PTK
13,LL,5/27/10,E-trap,1,46,Hymenoptera,Pompilidae,FALSE,Adult,1,PTK
14,LL,5/27/10,E-trap,2,47,Coleoptera,Curculiondae,FALSE,Adult,1,PTK
14,LL,5/27/10,E-trap,2,48,Trichoptera,Hydroptilidae,FALSE,Adult,1,PTK,
14,LL,5/27/10,E-trap,2,49,Trichoptera,Polycentropididae,FALSE,Adult,5,PTK,
14,LL,5/27/10,E-trap,2,50,Diptera,Chironomidae,FALSE,Adult,24,PTK,
14,LL,5/27/10,E-trap,2,51,Diptera,Ephydridae,FALSE,Adult,3,PTK,
14,LL,5/27/10,E-trap,2,52,Diptera,Simuliidae,FALSE,Adult,1,PTK,
14,LL,5/27/10,E-trap,2,53,Diptera,Ephydridae,FALSE,Adult,1,PTK,
15,LL,5/27/10,E-trap,3,54,Diptera,Chironomidae,FALSE,Adult,3,PTK,
15,LL,5/27/10,E-trap,3,55,Trichoptera,Polycentropididae,FALSE,Adult,1,PTK,
15,LL,5/27/10,E-trap,3,56,Trichoptera,Dipseudopsidae,FALSE,Adult,1,PTK,
15,LL,5/27/10,E-trap,3,57,Hymenoptera,Ichneumonidae,FALSE,Adult,1,PTK,
15,LL,5/27/10,E-trap,3,58,Coleoptera,Curculiondae,FALSE,Adult,1,PTK,
16,LL,5/27/10,E-trap,4,59,Trichoptera,Polycentropididae,FALSE,Adult,2,PTK,
17,LL,5/27/10,E-trap,5,60,Diptera,Muscidae,FALSE,Adult,1,PTK,
17,LL,5/27/10,E-trap,5,61,Diptera,Ephydridae,FALSE,Adult,1,PTK,
17,LL,5/27/10,E-trap,5,62,Diptera,Chironomidae,FALSE,Adult,12,PTK,
18,SH,5/25/10,E-trap,1,63,Diptera,Sciomyzidae,FALSE,Adult,1,PTK,put into voucher sample
18,SH,5/25/10,E-trap,1,64,Diptera,Muscidae,FALSE,Adult,8,PTK,
