taxa,Tissue_type,Comment,FA_ID,Site,Site_Abbrev,Box,Chick,Collection_date,size_g_or_mm,Scientific_name,CryoBox,taxa2,matrix_id,PtLipids
Bolus,whole,.,63,Big Lake North,BN,961,,5/28/10,,,2,Bolus,Bolus,17.04926407
Bolus,whole,.,64,Big Lake North,BN,953,,6/1/10,,,2,Bolus,Bolus,14.73963216
Bolus,whole,.,65,Big Lake North,BN,968,,6/4/10,,,2,Bolus,Bolus,10.72444736
Bolus,whole,.,66,Big Lake North,BN,969,,6/14/10,,,2,Bolus,Bolus,14.48986374
Bolus,whole,.,67,Big Lake North,BN,962,,6/25/10,,,2,Bolus,Bolus,17.7553995
Bolus,whole,.,123,Big Lake North,BN,953,,6/1/10,,,2,Bolus,Bolus,16.42988306
Bolus,whole,.,131,Big Lake North,BN,969,,6/14/10,,,2,Bolus,Bolus,20.98247346
Bolus,whole,.,234,Big Lake North,BN,953,,6/1/10,,,2,Bolus,Bolus,13.43143548
Bolus,whole,.,380,Big Lake North,BN,961,,5/28/10,,,2,Bolus,Bolus,12.88705924
Bolus,whole,.,68,Big Lake South,BS,977,,6/4/10,,,2,Bolus,Bolus,13.6313313
Bolus,whole,.,69,Big Lake South,BS,984,,6/4/10,,,2,Bolus,Bolus,15.14203479
Bolus,whole,.,70,Big Lake East,BS,803,,6/9/10,,,2,Bolus,Bolus,10.03875141
Bolus,whole,.,71,Big Lake South,BS,983,,6/9/10,,,2,Bolus,Bolus,12.31971154
Bolus,whole,.,72,Big Lake South,BS,986,,6/9/10,,,2,Bolus,Bolus,13.30049261
Bolus,whole,.,73,Big Lake East,BS,810,,6/15/10,,,2,Bolus,Bolus,14.84050719
Bolus,whole,.,74,Big Lake East,BS,816,,6/17/10,,,2,Bolus,Bolus,11.40734845
Bolus,whole,.,75,Big Lake South,BS,982,,6/17/10,,,2,Bolus,Bolus,14.2106681
Bolus,whole,.,76,Big Lake East,BS,802,,6/18/10,,,2,Bolus,Bolus,8.231848312
Bolus,whole,.,77,Big Lake East,BS,806,,6/18/10,,,2,Bolus,Bolus,14.87088157
