Order,Family,Stage,Count,Taxonomist,Notes,Site,Date,Bolus,type,Box,QA
Diptera,Chironomidae,Adult,64,PTK,ID by PTK,LL,6/16/10,1,bolus,402,402
Diptera,Dolichopodidae,Adult,1,PTK,ID by PTK,LL,6/16/10,1,bolus,402,402
Diptera,Chironomidae,Adult,24,PTK,ID by PTK,LL,6/16/10,1,bolus,405,
Odonata,Coenagrionidae,Adult,6,PTK,ID by PTK,LL,6/16/10,1,bolus,405,
Trichoptera,Leptoceridae,Adult,1,PTK,ID by PTK,LL,6/16/10,1,bolus,405,
Diptera,Chironomidae,Adult,2,PTK,ID by PTK - some parts hard to make out b/c of damaged wings,LL,5/25/10,1,bolus,409,
Odonata,Coenagrionidae,Adult,5,PTK,ID by PTK - some parts hard to make out b/c of damaged wings,LL,5/25/10,1,bolus,409,409
Diptera,Chironomidae,Adult,2,PTK,ID by PTK,LL,6/4/10,1,bolus,412,
Hemiptera,Aphididae,Adult,1,SKG,ID by SKG (to the best of ability) - TERRESTRIAL,LL,6/4/10,1,bolus,412,
Snails/fingernail clam,.,N/A,3,.,mixed in with sand in bolus,LL,6/4/10,1,bolus,412,
Diptera,Chironomidae,Adult,2,PTK,ID by PTK,LL,6/9/10,1,bolus 1,413,
Odonata,Coenagrionidae,Adult,7,PTK,ID by PTK,LL,6/9/10,1,bolus 1,413,
Trichoptera,Leptoceridae,Adult,1,PTK,ID by PTK,LL,6/9/10,1,bolus 1,413,
Trichoptera,unidentifiable,Adult,3,.,missing antenna-most likely Leptoceridae,LL,6/9/10,1,bolus 1,413,
Diptera,Chironomidae,Adult,2,PTK,ID by PTK,LL,6/9/10,2,bolus 2,413,
Ephemeroptera,unidentifiable,Adult,1,.,missing wings,LL,6/9/10,2,bolus 2,413,
Odonata,Coenagrionidae,Adult,2,PTK,ID by PTK,LL,6/9/10,2,bolus 2,413,
Trichoptera,Leptoceridae,Adult,1,PTK,ID by PTK,LL,6/9/10,2,bolus 2,413,
Trichoptera,unidentifiable,Adult,2,.,missing antenna-most likely Leptoceridae,LL,6/9/10,2,bolus 2,413,
Diptera,Chironomidae,Adult,25,PTK,ID by PTK,LL,6/14/10,1,bolus,414,
Diptera,Ephydridae,Adult,1,PTK,ID by PTK,LL,6/14/10,1,bolus,414,
Trichoptera,Leptoceridae,Adult,6,PTK,ID by PTK,LL,6/14/10,1,bolus,414,
Trichoptera,unidentifiable,Adult,3,.,wings in bad shape-missing antenna segments,LL,6/14/10,1,bolus,414,
Diptera,Chironomidae,Adult,25,PTK,ID by PTK,LL,6/14/10,1,bolus 1,416,
Odonata,Coenagrionidae,Adult,1,PTK,ID by PTK,LL,6/14/10,1,bolus 1,416,
Trichoptera,Leptoceridae,Adult,1,PTK,ID by PTK,LL,6/14/10,1,bolus 1,416,
Diptera,Chironomidae,Adult,27,PTK,ID by PTK,LL,6/14/10,2,bolus 2,416,
Diptera,Ephydridae,Adult,1,PTK,ID by PTK,LL,6/14/10,2,bolus 2,416,
Diptera,Muscidae,Adult,1,PTK,ID by PTK,LL,6/14/10,2,bolus 2,416,
Hymenoptera,Ichnuemonidae,Adult,1,PTK,ID by PTK,LL,6/1/10,1,bolus,417,417
Odonata,Coenagrionidae,Nymph,1,KL,ID to best of ability by K. Laukkanen (UWL),LL,6/4/10,1,bolus 1,419,
Odonata,Coenagrionidae,Adult,1,PTK,ID by PTK,LL,6/4/10,1,bolus 1,419
Assorted shells,.,N/A,.,.,halves of fingernail clam shells,LL,6/4/10,2,bolus 2,419
Ephemeroptera,Palingeniidae,Adult,1,PTK,ID by PTK - Pentagenia vittigera sp. ,LL,6/4/10,2,bolus 2,419
Coleoptera,TERRESTRIAL,Adult,1,SKG,ID by SKG,SH,6/21/10,1,bolus 1,500
Diptera,Chironomidae,Adult,9,SKG,ID by SKG,SH,6/21/10,1,bolus 1,500
Diptera,Ephydridae,Adult,2,SKG,ID by SKG,SH,6/21/10,1,bolus 1,500
Diptera,Muscidae,Adult,1,SKG,ID by SKG,SH,6/21/10,1,bolus 1,500
Diptera,Sciomyzidae,Adult,1,SKG,ID by SKG,SH,6/21/10,1,bolus 1,500
Hemiptera,TERRESTRIAL,Adult,1,SKG,ID by SKG,SH,6/21/10,1,bolus 1,500
Hymenoptera,Histeridae,Adult,2,SKG,ID by SKG,SH,6/21/10,1,bolus 1,500
Odonata,Coenagrionidae,Adult,5,SKG,ID by SKG,SH,6/21/10,1,bolus 1,500
Trichoptera,unidentifiable,Adult,1,.,"looks like a white caddisfly, c.f. ",SH,6/16/10,1,bolus 1,501
Coleoptera,Carabidae,Adult,1,PTK,ID by PTK,SH,6/16/10,1,bolus 1,501
Diptera,Chironomidae,Adult,11,PTK,ID by PTK,SH,6/16/10,1,bolus 1,501
Diptera,Ephydridae,Adult,1,PTK,ID by PTK,SH,6/16/10,1,bolus 1,501
Diptera,Sciomyzidae,Adult,2,PTK,ID by PTK,SH,6/16/10,1,bolus 1,501
Diptera,TERRESRIAL,Adult,1,.,cannot ID,SH,6/16/10,1,bolus 1,501
Diptera,Chironomidae,Adult,2,SKG,ID by SKG,SH,6/16/10,2,bolus 2,501
Odonata,Coenagrionidae,Adult,4,SKG,ID by SKG,SH,6/16/10,2,bolus 2,501
Coleoptera,Carabidae,Adult,1,PTK,ID by PTK- missing half of elytra,SH,6/1/10,1,bolus 1,503
Diptera,Chironomidae,Adult,66,PTK,ID by PTK,SH,6/1/10,1,bolus 1,503
Diptera,Sciomyzidae,Adult,3,PTK,ID by PTK,SH,6/1/10,1,bolus 1,503
Diptera,Stratiomyzidae,Adult,1,PTK,ID by PTK,SH,6/1/10,1,bolus 1,503
Hemiptera,Aphididae,Adult,2,SKG,ID by SKG (to the best of ability) - TERRESTRIAL,SH,6/1/10,1,bolus 1,503
Hymenoptera,Scelionidae,Adult,1,PTK,ID by PTK,SH,6/1/10,1,bolus 1,503
Odonata,Coenagrionidae,Adult,1,PTK,ID by PTK - some parts hard to make out b/c of damaged wings,SH,6/1/10,1,bolus 1,503
Trichoptera,Leptoceridae,Adult,1,PTK,"ID by PTK (to the best of ability, c.f.)",SH,6/1/10,1,bolus 1,503
Odonata,Coenagrionidae,Adult,2,PTK,ID by PTK,SH,6/1/10,2,bolus 2,503
Diptera,Chironomidae,Adult,12,PTK,ID by PTK,SH,6/16/10,1,bolus 1,504
Odonata,Coenagrionidae,Adult,3,PTK,ID by PTK,SH,6/16/10,1,bolus 1,504
Ephemeroptera,Palingeniidae,Adult,1,.,"Wings were damaged, hard to see - Pentagenia vittigera sp.",SH,6/16/10,2,bolus 2,504
Odonata,Coenagrionidae,Adult,2, SKG,ID by SG-one had damaged wings/hard to see,SH,6/16/10,2,bolus 2,504
Odonata,unidentifiable,Nymph,1,.,larava still had wing pads and gills ,SH,6/16/10,2,bolus 2,504,
Diptera,Chironomidae,Adult,1,PTK,ID by PTK,SH,6/3/10,1,bolus,505,
Ephemeroptera,Palingeniidae,Adult,6,PTK,ID by PTK - Pentagenia vittigera sp. ,SH,6/3/10,1,bolus,505,
Coleoptera,unidentifiable,Adult,1,.,missing antenna and elytra,SH,6/1/10,1,bolus,506,
Diptera,Chironomidae,Adult,6,PTK,ID by PTK,SH,6/1/10,1,bolus,506,
Diptera,Stratiomyzidae,Adult,1,PTK,ID by PTK - missing posterior part of wings - in voucher sample,SH,6/1/10,1,bolus,506,
Ephemeroptera,Palingeniidae,Adult,6,PTK,ID by PTK - ID based off of similarities of similar samples - Pentagenia vittigera sp. ,SH,6/1/10,1,bolus,506,
