taxa,Tissue_type,Site_Abbrev,Box,Collection_date,C12_0,C13_0,C14_0,C15_0i,C15ai,C14_1n5,C15_0,C16_0i,C15_1,C16_0,C16_1n7,C17_0,C16_3n4,C17_1,C18_0,C18_1n9t,C18_1n9c,C18_1n7,C18_2n6t,C18_2n6c,C20_0,C18_3n6,C20_1n9,C20_1n7,C18_3n3,C21_0,C18_4n3,C20_2,C22_0,C20_3n9,C20_3n6,C22_1n9,C20_3n3,C20_4n6,C23_0,C22_2,C24_0,C20_5n3,C24_1n9,C22_4n6,C22_5n6,C22_5n3c,C22_6n3,Omega3,Omega6,SAFA,MUFA,PUFA,Total_FA,matrix_id,site_matrix
Bolus,whole,BN,961,5/28/10,0.4146115,0.161357844,11.12349057,1.785434927,0.942964708,0.265508839,1.402587018,0.373203596,0.086391399,28.89525572,17.85135957,1.144531718,0.356995548,0,6.004472216,0.180692369,10.80096997,13.02748345,0,15.54202982,0.704221796,0.825522396,0.276177136,0,16.15233086,0,6.058356175,0.15062785,0.224458698,0.066126625,0.17718036,0.149508062,0.144328093,1.741043923,0,0,0.390446729,12.12199378,0,0.393473043,0,0.3528192,0.205005188,35.03483329,18.67924954,53.56703703,42.63809079,54.28783286,150.4929607,bolus,BN _bolus
Bolus,whole,BN,961,5/28/10,0.195157424,0,1.935685551,0.483236561,0.327843365,0,0.323591643,0.177027965,0,16.96558627,6.551354378,0.560524618,0.233284673,0,6.628609673,0,15.45651463,4.410412312,0,13.82035507,0.61463119,0.250071813,0.595036435,0,11.6703959,0,0.57761077,0.206510786,0.273757934,0,0.376596985,0,0.202597078,3.264613417,0,0,0,6.434497037,0,0.623221075,0,0,0,18.88510078,18.33485836,28.5754797,27.01331776,37.6597546,93.24855207,bolus,BN _bolus
Bolus,whole,BN,953,6/1/10,0.268212563,0.122658469,5.639388507,1.292265961,0.513640551,0.18995321,0.788670478,0.24528376,0,17.84841042,11.32729372,0.928010904,0.202371296,0,5.2321775,0.160647199,8.392537846,10.33274611,0,10.8974531,0.68020555,0.633450251,0.208446424,0,8.625190788,0,3.452416083,0.127302094,0.209968569,0.048322381,0.144051471,0.125135383,0.134272213,1.783021286,0,0,0.361876462,10.84005682,0,0.339708271,0,0.345331472,0.215068395,23.61233577,13.79768438,34.13076969,30.7367599,37.78801592,102.6555455,bolus,BN _bolus
Bolus,whole,BN,953,6/1/10,1.606266168,0.170137759,8.642658469,1.971798427,0.627976585,0.199491577,1.524618557,0.344372682,0,23.61104686,13.48014822,1.095287289,0,0,6.250560736,0.207613902,11.68524501,12.06263049,0,11.45382198,1.415144416,0.955277227,0.44345852,0,9.683438186,0,5.028606319,0.205540092,0.624332705,0,0.196564406,0.130620474,0.139020653,2.318703864,0,0,0.366150153,11.56513289,0,0.414078416,0,0.749351678,0.198690259,27.36423999,15.3384459,48.56684178,38.2092082,42.90822597,129.6842759,bolus,BN _bolus
Bolus,whole,BN,953,6/1/10,0.517551509,0.11683962,4.797431429,1.080646239,0.138280135,0.167704586,0.723863651,0.215308244,0,16.09526836,9.553426361,0.864151555,0,0,5.205413701,0.165680089,8.492286112,8.395350645,0,10.81466335,0.655789548,0.559427421,0.20997438,0,9.818535442,0,2.972461535,0,0.290459589,0,0.157946318,0,0,1.645573391,0,0,0,9.552430144,0,0.329659243,0,1.116175391,0,23.45960251,13.50726972,30.70100359,26.98442217,36.96687224,94.65229799,bolus,BN _bolus
Bolus,whole,BN,968,6/4/10,0,0,0.233326577,0.06644733,0,0,0.123347767,0.054949519,0,3.864733112,1.123539719,0.226826492,0.05546489,0,1.632562205,0.135830774,3.526332158,0.69233064,0,3.493726835,0.306709953,0.161432377,0.169273847,0,7.217949015,0,0.368672972,0.184957076,0.332852719,0,0.173717697,0.192250888,0.182579859,0.462632917,0,0,0.535478481,0.859326844,0.402307938,2.34766647,0,0.517227959,0.286434901,9.432191551,6.639176296,7.377234156,6.241865963,16.31178981,29.93088993,bolus,BN _bolus
Bolus,whole,BN,969,6/14/10,1.357108889,0.066479073,3.153134007,1.095395085,1.272752243,0.114515211,0.497340505,0.194493814,0,17.78710549,9.508894063,0.664435504,0.133014686,0,7.160886541,0.110352414,16.18840773,8.800281589,0,12.28009191,0.57346978,0.584480777,0.230703848,0.039457088,7.951496308,0,1.45378187,0.093238091,0.241863856,0.029200559,0.144484692,0.073110326,0.086416691,4.4449915,0,0,0.198328098,7.673171329,0,0.356809367,0,0.179538615,0.111145142,17.45554995,17.81085825,34.26279289,35.06572227,35.52186154,104.8503767,bolus,BN _bolus
Bolus,whole,BN,969,6/14/10,0.245540818,0,1.078752949,0.164213243,0,0.090056001,0.28554297,0.116527576,0,30.77900196,4.396993312,0.53856454,0,0,9.490810126,0.300044757,79.12776091,4.566604665,0,23.38675445,0.816952157,0.269820861,0.515648988,0,2.882500718,0,0.423423057,0.245768353,0.485459889,0,0.262286151,0,0.262304361,2.628868438,0,0,0,4.634145397,0,0.292985712,0,1.981480591,0,10.18385412,26.84071561,44.00136623,88.99710863,37.27033809,170.268813,bolus,BN _bolus
Bolus,whole,BN,962,6/25/10,0,0,0.97112046,0.479957629,0.159554015,0,0.547779259,0.253664544,0,15.36828992,3.899816706,1.725980361,0.06676365,0,8.456570685,0.287581071,8.554612338,13.35312148,0,6.12990129,0.924473968,0.573556406,0.515938301,0.068642195,7.818898366,0,1.561703153,1.064527755,0.707247196,0.065357787,0.473770539,0.229209567,0.744507038,3.661632741,0,0,0.656579604,11.34424004,0,1.395149959,0,0.571282139,0.45417544,22.49480618,12.23401093,30.25121764,26.90892166,35.9254663,93.0856056,bolus,BN _bolus
Bolus,whole,BS,977,6/4/10,5.376396426,0.097226314,2.520316043,0.371676992,0.354276545,0.551853358,0.461514626,0.097410853,0,14.69885513,21.03095693,0.357262102,0.188957605,0,3.566478875,0.090333538,14.32887243,2.244228208,0,6.372297538,0.442527101,0.468658187,0.106021787,0,6.607925534,0,0.517212307,0.079382729,0.211929489,0.096746144,0.099380686,0,0.101380702,2.405513181,0,0,0.224378269,2.905614543,0,0.398640459,0,0.22398135,0.160046558,10.51616099,9.744490052,28.78024877,38.35226625,20.62573752,87.75825255,bolus,BS _bolus
