Family,ORDER,Site_Abbrev,Collection_date,C16_0,C16_1n7,C17_1,C18_0,C18_1n9t,C18_1n9c,C18_1n7,LINC18_2n6c,C20_0,C18_3n6,C20_1n9,ALAC18_3n3,C18_4n3,C20_3n6,C20_3n3,ARAC20_4n6,EPAC20_5n3,C22_4n6,C22_5n3c,DHAC22_6n3,Omega3,Omega6,SAFA,MUFA,PUFA,Total_FA,
Chironomidae,DIPT,BN,5/30/10,14.72550703,8.015382956,0,4.340861028,0.118704167,7.339016253,7.417262262,9.975117347,0.419384946,0.411790125,0.184937754,6.262037155,2.346296526,0,0,0.78823449,5.075617429,0.153310907,0,0,13.68395111,11.32845287,27.12091299,23.20533466,25.01240398,75.33865163,67.57346038
Chironomidae,DIPT,BN,5/30/10,14.9994548,8.262635235,0,4.418382486,0.141128468,7.51327515,7.346283609,10.77338825,0.447427515,0.474643199,0.206260455,6.796926182,2.670391654,0,0,0.961099356,6.0090663,0.1601084,0,0,15.47638414,12.36923921,27.23927457,23.6056016,27.84562334,78.69049951,
Chironomidae,DIPT,BN,6/7/10,13.23732692,9.110579552,0,4.090300884,0.129909831,7.622771387,6.60057222,9.385637949,0.444012376,0.36504898,0.162622795,5.349779836,1.586607518,0.104834143,0,0.855487619,4.189262408,0.156805233,0,0,11.12564976,10.86781392,23.78020431,23.81259247,21.99346369,69.58626046,
Chironomidae,DIPT,BN,6/7/10,12.82046224,7.755164613,0,3.830752863,0.142047737,6.939187064,6.524281495,10.43914226,0.485112407,0.414003781,0.184083843,6.457954222,1.994750867,0.131339747,0,1.144787977,6.631484677,0.137144345,0,0,15.08418977,12.26641811,23.51509893,21.71806245,27.35060788,72.58376926,
Chironomidae,DIPT,BN,6/15/10,15.9754418,8.740445761,0,4.342820849,0.133538821,8.564962871,6.488342453,11.22429829,0.41225847,0.409129498,0.180967002,8.207340744,2.279506474,0,0,1.188397789,5.891546035,0.160247679,0,0,16.37839325,12.98207326,28.86354148,24.33412065,29.36046651,82.55812863,
Chironomidae,DIPT,BN,6/15/10,15.51259786,8.181535684,0,4.083695889,0.138474005,7.932914641,5.790599298,9.860145196,0.407507667,0.411460666,0.173848146,7.528990527,2.11000064,0.123153229,0,1.104583869,5.498294959,0.122536805,0,0,15.13728613,11.62187977,27.95605588,22.35817455,26.75916589,77.07339632,
Chironomidae,DIPT,BN,6/15/10,14.82794796,6.208751568,0,3.229372126,0.133222873,12.54655115,3.669976699,3.6796359,0.30604273,0.243977947,0.128159618,2.271409122,0.472328839,0.156242148,0,2.400235916,6.418565036,0.184404947,0.442552036,0,9.604855035,6.664496858,20.59515639,22.82946595,16.40646604,59.83108838,
Chironomidae,DIPT,BN,6/24/10,15.19216897,10.28778929,0,5.110666124,0.147193651,8.104253856,7.070461945,7.964141374,0.486083726,0.480413029,0.189842149,7.459055028,1.913368268,0,0,1.24972744,6.545763614,0.163875235,0,0,15.91818691,9.858157077,27.55031175,25.91414625,25.77634399,79.24080199,
Chironomidae,DIPT,BN,6/24/10,12.86249161,9.265601556,0,4.68525161,0.151905659,8.431594838,6.769735672,8.820598688,0.573041602,0.545166234,0.185603614,7.126463586,1.842987573,0.165278304,0,1.334300222,6.348056118,0.162954167,0,0,15.31750728,11.02829761,23.1953408,24.93564528,26.34580489,74.47679097,
Chironomidae,DIPT,BN,6/30/10,15.84228786,13.74179143,0,6.511438426,0.127663258,9.496521993,6.727052849,8.21952932,0.527588784,0.500790629,0.194967338,6.061143451,1.82237963,0.145171313,0,1.147571136,5.132682104,0.173196536,0,0,13.01620518,10.18625893,29.32593362,30.47884484,23.20246412,83.00724258,
Chironomidae,DIPT,BN,6/30/10,16.58641552,13.9562847,0,5.841398061,0.131921651,9.273570648,5.894045369,10.71843888,0.513123584,0.560665594,0.182433217,6.502402711,1.699889003,0.169274425,0,1.460861916,6.26990317,0.152022242,0,0,14.47219488,13.06126305,29.28282348,29.76774903,27.53345794,86.58403045,
Chironomidae,DIPT,BN,7/6/10,15.88804824,11.20332661,0,4.95977323,0.114002455,8.364978142,6.857454526,7.878558569,0.452400023,0.522186903,0.161453711,6.948621009,1.711795948,0.116991773,0,0.898114355,5.253494099,0.167605507,0.329136025,0,14.24304708,9.583457107,29.53787327,26.81570898,23.82650419,80.18008644,
Chironomidae,DIPT,BN,7/6/10,16.50345292,11.45932391,0,4.644940679,0.135252864,8.337053942,6.096672752,7.412236521,0.420372079,0.469360257,0.167773676,6.632780057,1.515965648,0,0,0.919124277,4.675294197,0.160645736,0,0,12.8240399,8.961366791,29.99863153,26.33785983,21.78540669,78.12189805,
Chironomidae,DIPT,BS,5/30/10,10.61783897,5.643907534,0,3.040073532,0.130886624,6.627094627,5.952196011,10.7330025,0.453224717,0.425211839,0.171550435,8.189200449,1.782207352,0,0.135239455,1.167734657,6.699087007,0.144808984,0,0,16.80573426,12.47075798,18.35584212,18.63225613,29.27649225,66.2645905,
Chironomidae,DIPT,BS,5/30/10,12.95850224,6.622054063,0,3.817936799,0.137988975,7.072645428,6.68919558,12.55734873,0.510580321,0.465832779,0.181061474,8.436461543,2.440793266,0,0,1.284785464,7.92903959,0.143899776,0,0,18.8062944,14.45186675,23.32423286,20.82665955,33.25816115,77.40905356,
Chironomidae,DIPT,BS,6/7/10,13.06981658,8.106034529,0,3.940103615,0.155122641,7.818597682,5.91662315,11.4239237,0.464951903,0.350859408,0.186931075,8.103591568,2.182336489,0.112490285,0,1.134275202,4.797219458,0.15357727,0,0,15.08314751,13.17512587,22.49100437,22.37275341,28.25827338,73.12203116
Chironomidae,DIPT,BS,6/7/10,11.23914373,8.384520529,0,3.479207037,0.152843596,7.502728669,6.145804739,9.453417941,0.484850519,0.41187535,0.188147636,7.662393929,2.201287465,0,0,1.211374272,6.560425612,0.175181843,0,0,16.42410701,11.25184941,20.35347179,22.58064028,27.67595641,70.61006848
Chironomidae,DIPT,BS,6/15/10,13.80158516,8.845335803,0,3.907367288,0.132009949,7.097278306,7.461559826,9.765120735,0.518909957,0.432645524,0.183916158,6.682983089,1.855643963,0.105245446,0,1.0874063,5.773804515,0.171611738,0,0,14.31243157,11.56202974,25.48870291,23.91826129,25.87446131,75.28142551
Chironomidae,DIPT,BS,6/15/10,16.09852986,9.803674419,0,4.930879002,0.158778318,9.066165558,7.417979681,12.6134093,0.610424672,0.524115583,0.187358052,8.969983743,2.250994214,0.169919722,0,1.565722614,7.76963713,0.160566759,0.697851242,0,19.68846633,15.03373398,29.24836496,26.63395603,34.72220031,90.6045213
Chironomidae,DIPT,BS,6/15/10,16.72463654,7.054554746,0,3.997594601,0.133879731,14.21376421,4.054372281,4.031833229,0.323445646,0.230380562,0,2.468886344,0.421690201,0.147275155,0,2.912294658,7.695972388,0.166286997,0.793576984,0.222234597,11.60236051,7.488070602,23.40600908,25.59972238,19.22431649,68.23004795
Chironomidae,DIPT,BS,6/24/10,13.75562202,9.156019065,0,4.325954746,0.112436236,8.05385836,6.01049342,10.7508253,0.439483019,0.487169893,0.17611728,6.480722145,2.02042109,0.113285974,0,1.309038755,6.193878353,0.15970307,0,0,14.69502159,12.82002299,24.21983946,23.60098631,27.51504458,75.33587035
Chironomidae,DIPT,BS,6/24/10,12.66908171,8.630964441,0,4.470665409,0.120145436,7.788148055,6.358809111,10.40854254,0.505121754,0.531503113,0.190531679,6.796376386,1.978872818,0.141949212,0,1.371802679,6.667986105,0.152810731,0.546223887,0.174939149,16.16439835,12.60660827,22.76837178,23.19542292,28.77100662,74.73480132
Chironomidae,DIPT,BS,6/30/10,20.67590037,16.2269647,0,6.480936204,0.0452693,10.56667261,9.936746921,9.704163997,0.576145808,0.517772733,0.126426924,8.518930351,2.411720719,0.069901457,0,1.34827424,10.16917365,0.660046025,0,0,21.09982472,12.30015845,35.45654688,37.03166251,33.39998317,105.8881926
Chironomidae,DIPT,BS,6/30/10,20.95558323,17.57424705,0,6.736689378,0.188668558,10.5923686,10.16920173,8.653048727,0.7126455,0.663445534,0.218480532,8.822108131,2.637642709,0.176282106,0,1.366527277,9.939158057,0.16276429,0.59961873,0.194630873,22.1931585,11.02206793,38.49986267,38.9578335,33.21522644,110.6729226
Chironomidae,DIPT,BS,7/6/10,21.39770258,14.51830732,0,6.064736104,0.04281297,10.60374536,7.454912469,7.940918661,0.346810002,0.415963999,0.103147109,7.349724216,2.00550105,0.033972908,0,0.857181256,6.269219397,0.55949792,0,0,15.62444466,9.807534744,36.8563354,32.76696366,25.43197941,95.05527847
Chironomidae,DIPT,BS,7/6/10,19.99301366,14.0736688,0,6.599227457,0.161103866,9.404245157,7.04484244,4.779678788,0.561659431,0.274352479,0.148862886,3.747786745,0.823899035,0,0,0.433350594,1.98414271,0.181416702,1.836882033,0,8.392710524,5.668798563,37.1838622,30.97902459,14.06150909,82.22439588
Chironomidae,DIPT,EN,5/26/10,18.22980566,8.21320133,0,4.468011577,0.018773379,12.82698865,6.394211329,17.12211481,0.422733678,0.375836958,0.093786987,11.25668362,2.405070883,0.031610113,0.071652321,1.61629797,6.049143724,0.537616258,0,0,19.78255055,19.68347611,29.01365826,27.58104561,39.48233023,96.07703411
Chironomidae,DIPT,EN,5/26/10,12.87136419,5.853928476,0,4.521595921,0.128763251,6.458590356,7.369268731,14.49910574,0.641164194,0.507214538,0.171422872,9.434431099,1.824897419,0,0,1.906225551,6.051847266,0.144448886,0.902640446,0,18.21381623,17.05699471,24.5160863,20.08446725,35.27081094,79.87136448
Chironomidae,DIPT,EN,6/1/10,11.07389027,6.569723406,0,3.475331919,0.138062755,7.387710414,5.934281913,12.16311017,0.554752583,0.386127058,0.201786211,10.59468258,1.009648791,0.136841715,0.161314338,1.701333411,4.636950718,0.1652314,1.896689628,0,18.29928606,14.55264376,19.38335664,20.35843139,32.95714189,72.69892992
Chironomidae,DIPT,EN,6/6/10,19.82751414,9.263095383,0,4.95634162,0,10.7931032,7.017486617,15.99950053,0.437557271,0.315135479,0.071489548,20.03831235,0.589585845,0.042931604,0.074117961,1.405890638,3.87454855,0.80558615,0,0,24.5765647,18.56904441,32.3084396,27.34405693,43.14560911,102.7981056
Chironomidae,DIPT,EN,6/6/10,13.30697977,7.215657665,0,4.646227519,0.10142652,7.428516591,6.024611559,9.819005561,0.505025989,0.345272502,0.139878688,7.977976185,1.162744143,0.099513206,0.09391202,1.101061478,4.065670119,0.16210747,0.629949522,0,13.93025199,11.52696022,24.54856775,21.09879421,25.53180299,71.17916495
