taxa,Tissue_type,Comment,Site,Site_Abbrev,Box,Chick,Collection_date,Age,size_g_or_mm,Scientific_name,CryoBox,vial,Volume_mL,vss63,FA_ID,C6_0,C8_0,C10_0,C11_0,C12_0,C13_0,C14_0,C15_0i,C15ai,C14_1n5,C15_0,C16_0i,C15_1,C16_0,C16_1n7,C17_0,C16_3n4,C17_1,C18_0,C18_1n9t,C18_1n9c,C18_1n7,C18_2n6t,C18_2n6c,C20_0,C18_3n6,C20_1n9,C20_1n7,C18_3n3,C21_0,C18_4n3,C20_2,C22_0,C20_3n9,C20_3n6,C22_1n9,C20_3n3,C20_4n6,C23_0,C22_2,C24_0,C20_5n3,C24_1n9,C22_4n6,C22_5n6,C22_5n3c,C22_6n3,Omega3,Omega6,SAFA,MUFA,PUFA,Total_FA,matrix_id,site_matrix
Tree_Swallow,portion,.,Big Lake North,BN,961,.,6/2/10,0,19,Tachycineta bicolor,2,,,,1,0,0,0,0,0.117771174,0,0.704777594,0.128040351,0.047788314,0.067126903,0.182446804,0,0,19.83063781,1.157229528,0.465451997,0,0,16.39694776,0.107018314,2.9625704,3.753394495,0,5.543066101,0.192641469,0.152426387,0.234460601,0,0.687869239,0,0.226377047,0.141809345,0.258100191,0,0.792500888,0,0.135684167,8.303809148,0,0,0.207157686,4.041794968,0.120693685,0.812498884,0,5.862048635,6.76567077,17.71944483,15.60430141,38.53176116,8.402493926,33.46555558,80.39981066,Bird,BN _Bird
Tree_Swallow,portion,.,Big Lake North,BN,965,.,6/3/10,0,21.1,Tachycineta bicolor,2,,,,2,0,0,0,0,0.212530997,0,1.1111271,0.169503349,0.070811728,0.129773402,0.26606563,0,0,22.32235446,1.669747054,0.855124444,0,0,17.91241037,0.164065269,4.48964436,4.644431101,0,8.370415706,0.294433194,0.193986704,0.33793665,0,1.387180473,0,0.340490184,0.267167688,0.329821761,0,1.137837055,0,0.22850203,9.569974397,0,0,0.268464586,4.681959696,0.138489715,1.032126532,0,7.401091913,7.285777954,21.32500225,20.30434039,43.81264762,11.57408755,41.89651033,97.2832455,Bird,BN _Bird
Tree_Swallow,portion,.,Big Lake North,BN,969,.,6/19/10,0,21.2,Tachycineta bicolor,2,,,,4,0,0,0,0,0.074055977,0,0.651677655,0.105791346,0.043246183,0.049779297,0.150031788,0,0,18.70154377,1.072134761,0.668774411,0,0,17.63295908,0.114371121,6.117246343,3.82584896,0,6.468052331,0.1935861,0.127537136,0.219077362,0.019712318,0.744596526,0,0.178488898,0.256757245,0.263971237,0,1.005668406,0.104157643,0.171624894,13.05070138,0,0,0.227687074,2.050642332,0.156481392,1.04844794,0,5.984007943,9.049752875,18.17911347,21.70040719,38.71332463,11.6788092,40.1362779,90.52841173,Bird,BN _Bird
Tree_Swallow,portion,.,Big Lake North,BN,962,a,6/25/10,0,18.6,Tachycineta bicolor,2,,,,5,0,0,0,0,0.068869083,0,0.429026279,0.074150327,0.023986274,0,0.143627566,0,0,17.02126722,0.758744915,0.775701043,0,0,16.83007289,0.092320333,9.745767068,3.442181682,0,6.879290726,0.209493225,0.104469457,0.218334771,0,0.627676248,0.068889468,0,0.355667214,0.230400751,0,1.148990779,0.085567618,0.202418037,13.59465122,0,0,0.201235024,2.061165777,0.127042752,1.047347583,0,5.223101735,8.247882744,16.36224454,22.77474977,36.07671915,14.46995914,39.49266152,90.03933982,Bird,BN _Bird
Tree_Swallow,portion,.,Big Lake North,BN,962,b,6/25/10,0,19.2,Tachycineta bicolor,2,,,,6,0,0,0,0,0.09690826,0,0.535851171,0.072193503,0.038187397,0.049163416,0.166132592,0,0,18.05320839,1.031101473,0.802127368,0,0,16.92136747,0.119569638,10.39686815,3.610286903,0,7.065712694,0.240012212,0.123157923,0.228756636,0,0.826654247,0,0.199663974,0.366291899,0.269686262,0,1.117100956,0.092371153,0.225299468,13.06297002,0,0,0.217837286,1.992556076,0.15031728,1.049951726,0,5.180090738,9.282455817,17.70672032,22.41889332,37.4135119,15.67843465,40.49190554,93.58385209,Bird,BN _Bird
Tree_Swallow,portion,.,Big Lake South,BS,977,.,6/9/10,0,21.8,Tachycineta bicolor,2,,,,7,0,0,0,0,0.074725935,0,0.613804602,0.096890641,0.021647847,0.047387348,0.120939743,0,0,20.19761515,1.109255404,0.479215485,0,0,18.45980214,0.111103723,4.034589854,3.658142045,0,7.224563712,0.199089639,0.149818431,0.217061447,0.02190324,0.840736503,0,0.217023485,0.242470958,0.265668789,0,1.1909937,0.110008516,0.200923022,9.223966326,0,0,0.239231161,4.313451899,0.122280329,0.887961694,0,5.993043701,7.359592598,18.92477121,18.67730386,40.76863114,9.431731906,37.84454603,88.04490907,Bird,BS _Bird
Tree_Swallow,portion,.,Big Lake South,BS,984,.,6/9/10,0,16.2,Tachycineta bicolor,2,,,,8,0,0,0,0,0.067408584,0,0.446921721,0.058510943,0.022518229,0.041789374,0.101098693,0,0,16.73488501,0.863647131,0.423937817,0,0,13.0418067,0.081290408,3.702019347,3.889379949,0,6.773533367,0.162778643,0.147244131,0.179973756,0.018342155,0.634883097,0,0.185561506,0.210237565,0.240222429,0,1.19648316,0.087219028,0.168153067,8.48320255,0,0,0.232938838,3.328638011,0.129007946,0.840514767,0,6.058212672,6.796137277,17.17158563,17.44097797,31.53302761,8.992669094,34.82280117,75.34849787,Bird,BS _Bird
Tree_Swallow,portion,.,Big Lake South,BS,986,.,6/12/10,0,20,Tachycineta bicolor,2,,,,9,0,0,0,0,0.202796828,0,1.176899058,0.200111602,0.058296569,0.109770869,0.293796148,0.066181348,0,27.32143077,2.20468265,0.971600544,0,0,21.02169664,0.147262261,9.805285369,4.983702731,0,9.020512045,0.2910244,0.157326356,0.30507018,0,1.830278753,0,0,0.29859788,0.32747196,0,1.305861118,0.12323191,0.259278969,10.82750746,0,0,0.272833877,2.62963015,0.183388179,1.013378438,0,9.237556061,7.813820518,21.77056445,22.32458542,52.20413975,17.86239415,44.39374775,114.4602816,Bird,BS _Bird
Tree_Swallow,portion,Changed from 903 to 803 see field data sheet,Big Lake East,BS,803,.,6/13/10,0,25.2,Tachycineta bicolor,2,,,,10,0,0,0,0,0.217833382,0,1.369727111,0.217534812,0.036634181,0.110442452,0.265669732,0,0,24.14849023,2.379375156,1.038772051,0,0,16.54015722,0.132988134,8.347911316,5.427506017,0,8.681523203,0.274307628,0.160700638,0.381056306,0.04391832,1.855050727,0,0.279826218,0.331985279,0.287083208,0,1.06929512,0,0.284369315,9.957473007,0,0,0.25515914,3.337568894,0.165306536,1.059214372,0,7.809494703,6.9801806,20.54649046,20.92820634,44.65136869,16.98850424,41.80668208,103.446555,Bird,BS _Bird
Tree_Swallow,portion,.,Big Lake South,BS,983,.,6/13/10,0,21.8,Tachycineta bicolor,2,,,,11,0,0,0,0,0.409482673,0.11586792,2.869590314,0.692405665,0.113545774,0.152275244,0.460675216,0,0,42.25741696,5.619821984,1.708675802,0,0.117495923,22.54901444,0.171125927,16.92445853,8.70020369,0,13.95607228,0.331604242,0.211027831,0.558694961,0.069030734,5.073315418,0,0.339326104,0.380546784,0.298113805,0,1.078946202,0,0.365219829,10.37476433,0,0,0.262644194,3.772809277,0.160936906,1.084469657,0,12.89384476,7.377826272,29.82234166,26.7052803,72.069037,32.4740439,56.90816875,161.4512497,Bird,BS _Bird
